onset	duration	trial_type	value	sample
17.817	0.0	left_AO	3	17817
27.867	0.0	left_AO	3	27867
37.917	0.0	left_AO	3	37917
47.967	0.0	right_AO	4	47967
58.017	0.0	left_AO	3	58017
68.067	0.0	left_MI	1	68067
78.117	0.0	left_AO	3	78117
88.167	0.0	left_MI	1	88167
98.217	0.0	left_MI	1	98217
108.267	0.0	left_MI	1	108267
118.317	0.0	left_AO	3	118317
128.367	0.0	left_AO	3	128367
138.417	0.0	right_AO	4	138417
148.466	0.0	right_AO	4	148466
158.516	0.0	right_AO	4	158516
168.566	0.0	left_AO	3	168566
178.616	0.0	right_MI	2	178616
188.666	0.0	right_AO	4	188666
198.716	0.0	left_MI	1	198716
208.766	0.0	left_MI	1	208766
218.816	0.0	right_MI	2	218816
228.866	0.0	right_AO	4	228866
238.916	0.0	left_MI	1	238916
248.966	0.0	right_MI	2	248966
259.016	0.0	right_AO	4	259016
269.066	0.0	right_MI	2	269066
279.116	0.0	left_MI	1	279116
289.166	0.0	right_AO	4	289166
299.216	0.0	right_MI	2	299216
309.266	0.0	right_MI	2	309266
319.316	0.0	right_MI	2	319316
329.366	0.0	right_MI	2	329366
