onset	duration	trial_type	value	sample
31.796	0.0	right_hand	2	31796
41.848	0.0	right_hand	2	41848
51.9	0.0	right_hand	2	51900
61.951	0.0	right_hand	2	61951
72.003	0.0	right_hand	2	72003
82.055	0.0	left_hand	1	82055
92.107	0.0	left_hand	1	92107
102.159	0.0	left_hand	1	102159
112.21	0.0	left_hand	1	112210
122.262	0.0	right_hand	2	122262
132.314	0.0	left_hand	1	132314
142.366	0.0	right_hand	2	142366
152.417	0.0	left_hand	1	152417
162.469	0.0	right_hand	2	162469
172.521	0.0	left_hand	1	172521
182.573	0.0	right_hand	2	182573
192.625	0.0	left_hand	1	192625
202.676	0.0	right_hand	2	202676
212.728	0.0	right_hand	2	212728
222.78	0.0	left_hand	1	222780
232.832	0.0	left_hand	1	232832
242.884	0.0	right_hand	2	242884
252.935	0.0	left_hand	1	252935
262.987	0.0	left_hand	1	262987
273.039	0.0	right_hand	2	273039
283.091	0.0	right_hand	2	283091
293.143	0.0	right_hand	2	293143
303.194	0.0	right_hand	2	303194
313.246	0.0	left_hand	1	313246
323.298	0.0	left_hand	1	323298
333.35	0.0	left_hand	1	333350
343.401	0.0	left_hand	1	343401
353.453	0.0	right_hand	2	353453
363.505	0.0	left_hand	1	363505
373.557	0.0	left_hand	1	373557
383.609	0.0	left_hand	1	383609
393.66	0.0	left_hand	1	393660
403.712	0.0	right_hand	2	403712
413.764	0.0	right_hand	2	413764
423.815	0.0	right_hand	2	423815
