onset	duration	trial_type	value	sample
9.201	0.0	left_hand	1	9201
9.201	0.0	left_hand	1	9201
17.198	0.0	right_hand	2	17198
17.198	0.0	right_hand	2	17198
25.196	0.0	right_hand	2	25196
25.196	0.0	right_hand	2	25196
33.194	0.0	left_hand	1	33194
33.194	0.0	left_hand	1	33194
41.191	0.0	right_hand	2	41191
41.191	0.0	right_hand	2	41191
49.189	0.0	left_hand	1	49189
49.189	0.0	left_hand	1	49189
57.187	0.0	left_hand	1	57187
57.187	0.0	left_hand	1	57187
65.185	0.0	right_hand	2	65185
65.185	0.0	right_hand	2	65185
73.182	0.0	right_hand	2	73182
73.182	0.0	right_hand	2	73182
81.18	0.0	left_hand	1	81180
81.18	0.0	left_hand	1	81180
89.177	0.0	left_hand	1	89177
89.177	0.0	left_hand	1	89177
97.176	0.0	right_hand	2	97176
97.176	0.0	right_hand	2	97176
105.173	0.0	left_hand	1	105173
105.173	0.0	left_hand	1	105173
113.171	0.0	right_hand	2	113171
113.171	0.0	right_hand	2	113171
121.169	0.0	right_hand	2	121169
121.169	0.0	right_hand	2	121169
129.167	0.0	left_hand	1	129167
129.167	0.0	left_hand	1	129167
137.164	0.0	right_hand	2	137164
137.164	0.0	right_hand	2	137164
145.162	0.0	left_hand	1	145162
145.162	0.0	left_hand	1	145162
153.16	0.0	right_hand	2	153160
153.16	0.0	right_hand	2	153160
161.158	0.0	left_hand	1	161158
161.158	0.0	left_hand	1	161158
169.155	0.0	right_hand	2	169155
169.155	0.0	right_hand	2	169155
177.153	0.0	left_hand	1	177153
177.153	0.0	left_hand	1	177153
185.151	0.0	right_hand	2	185151
185.151	0.0	right_hand	2	185151
193.148	0.0	left_hand	1	193148
193.148	0.0	left_hand	1	193148
201.146	0.0	right_hand	2	201146
201.146	0.0	right_hand	2	201146
209.144	0.0	left_hand	1	209144
209.144	0.0	left_hand	1	209144
217.141	0.0	left_hand	1	217141
217.141	0.0	left_hand	1	217141
225.139	0.0	right_hand	2	225139
225.139	0.0	right_hand	2	225139
233.137	0.0	right_hand	2	233137
233.137	0.0	right_hand	2	233137
241.134	0.0	left_hand	1	241134
241.134	0.0	left_hand	1	241134
249.133	0.0	right_hand	2	249133
249.133	0.0	right_hand	2	249133
257.131	0.0	left_hand	1	257131
257.131	0.0	left_hand	1	257131
265.128	0.0	right_hand	2	265128
265.128	0.0	right_hand	2	265128
273.126	0.0	left_hand	1	273126
273.126	0.0	left_hand	1	273126
281.124	0.0	left_hand	1	281124
281.124	0.0	left_hand	1	281124
289.121	0.0	right_hand	2	289121
289.121	0.0	right_hand	2	289121
297.119	0.0	left_hand	1	297119
297.119	0.0	left_hand	1	297119
305.117	0.0	right_hand	2	305117
305.117	0.0	right_hand	2	305117
313.115	0.0	right_hand	2	313115
313.115	0.0	right_hand	2	313115
321.112	0.0	left_hand	1	321112
321.112	0.0	left_hand	1	321112
