onset	duration	trial_type	value	sample
7.702	0.0	left_hand	1	7702
7.702	0.0	left_hand	1	7702
15.702	0.0	right_hand	2	15702
15.702	0.0	right_hand	2	15702
23.702	0.0	left_hand	1	23702
23.702	0.0	left_hand	1	23702
31.702	0.0	right_hand	2	31702
31.702	0.0	right_hand	2	31702
39.702	0.0	right_hand	2	39702
39.702	0.0	right_hand	2	39702
47.702	0.0	left_hand	1	47702
47.702	0.0	left_hand	1	47702
55.701	0.0	left_hand	1	55701
55.701	0.0	left_hand	1	55701
63.701	0.0	right_hand	2	63701
63.701	0.0	right_hand	2	63701
71.701	0.0	left_hand	1	71701
71.701	0.0	left_hand	1	71701
79.701	0.0	right_hand	2	79701
79.701	0.0	right_hand	2	79701
87.701	0.0	left_hand	1	87701
87.701	0.0	left_hand	1	87701
95.702	0.0	right_hand	2	95702
95.702	0.0	right_hand	2	95702
103.701	0.0	right_hand	2	103701
103.701	0.0	right_hand	2	103701
111.701	0.0	left_hand	1	111701
111.701	0.0	left_hand	1	111701
119.701	0.0	right_hand	2	119701
119.701	0.0	right_hand	2	119701
127.701	0.0	left_hand	1	127701
127.701	0.0	left_hand	1	127701
135.701	0.0	left_hand	1	135701
135.701	0.0	left_hand	1	135701
143.701	0.0	right_hand	2	143701
143.701	0.0	right_hand	2	143701
151.701	0.0	left_hand	1	151701
151.701	0.0	left_hand	1	151701
159.701	0.0	right_hand	2	159701
159.701	0.0	right_hand	2	159701
167.701	0.0	right_hand	2	167701
167.701	0.0	right_hand	2	167701
175.701	0.0	left_hand	1	175701
175.701	0.0	left_hand	1	175701
183.701	0.0	left_hand	1	183701
183.701	0.0	left_hand	1	183701
191.701	0.0	right_hand	2	191701
191.701	0.0	right_hand	2	191701
199.701	0.0	left_hand	1	199701
199.701	0.0	left_hand	1	199701
207.701	0.0	right_hand	2	207701
207.701	0.0	right_hand	2	207701
215.701	0.0	left_hand	1	215701
215.701	0.0	left_hand	1	215701
223.701	0.0	right_hand	2	223701
223.701	0.0	right_hand	2	223701
231.701	0.0	right_hand	2	231701
231.701	0.0	right_hand	2	231701
239.701	0.0	left_hand	1	239701
239.701	0.0	left_hand	1	239701
247.701	0.0	left_hand	1	247701
247.701	0.0	left_hand	1	247701
255.701	0.0	right_hand	2	255701
255.701	0.0	right_hand	2	255701
263.701	0.0	right_hand	2	263701
263.701	0.0	right_hand	2	263701
271.701	0.0	left_hand	1	271701
271.701	0.0	left_hand	1	271701
279.701	0.0	right_hand	2	279701
279.701	0.0	right_hand	2	279701
287.701	0.0	left_hand	1	287701
287.701	0.0	left_hand	1	287701
295.701	0.0	right_hand	2	295701
295.701	0.0	right_hand	2	295701
303.701	0.0	left_hand	1	303701
303.701	0.0	left_hand	1	303701
311.701	0.0	right_hand	2	311701
311.701	0.0	right_hand	2	311701
319.7	0.0	left_hand	1	319700
319.7	0.0	left_hand	1	319700
