onset	duration	trial_type	value	sample
5.945	0.0	right_hand	2	5945
5.945	0.0	right_hand	2	5945
13.945	0.0	left_hand	1	13945
13.945	0.0	left_hand	1	13945
21.945	0.0	left_hand	1	21945
21.945	0.0	left_hand	1	21945
29.973	0.0	right_hand	2	29973
29.973	0.0	right_hand	2	29973
37.962	0.0	left_hand	1	37962
37.962	0.0	left_hand	1	37962
45.961	0.0	right_hand	2	45961
45.961	0.0	right_hand	2	45961
53.961	0.0	left_hand	1	53961
53.961	0.0	left_hand	1	53961
61.961	0.0	right_hand	2	61961
61.961	0.0	right_hand	2	61961
69.962	0.0	right_hand	2	69962
69.962	0.0	right_hand	2	69962
77.961	0.0	left_hand	1	77961
77.961	0.0	left_hand	1	77961
85.961	0.0	left_hand	1	85961
85.961	0.0	left_hand	1	85961
93.978	0.0	right_hand	2	93978
93.978	0.0	right_hand	2	93978
101.978	0.0	right_hand	2	101978
101.978	0.0	right_hand	2	101978
109.978	0.0	left_hand	1	109978
109.978	0.0	left_hand	1	109978
117.978	0.0	left_hand	1	117978
117.978	0.0	left_hand	1	117978
125.978	0.0	right_hand	2	125978
125.978	0.0	right_hand	2	125978
133.994	0.0	left_hand	1	133994
133.994	0.0	left_hand	1	133994
142.011	0.0	right_hand	2	142011
142.011	0.0	right_hand	2	142011
150.011	0.0	left_hand	1	150011
150.011	0.0	left_hand	1	150011
158.011	0.0	right_hand	2	158011
158.011	0.0	right_hand	2	158011
166.011	0.0	right_hand	2	166011
166.011	0.0	right_hand	2	166011
174.028	0.0	left_hand	1	174028
174.028	0.0	left_hand	1	174028
182.044	0.0	right_hand	2	182044
182.044	0.0	right_hand	2	182044
190.061	0.0	left_hand	1	190061
190.061	0.0	left_hand	1	190061
198.061	0.0	right_hand	2	198061
198.061	0.0	right_hand	2	198061
206.078	0.0	left_hand	1	206078
206.078	0.0	left_hand	1	206078
214.094	0.0	right_hand	2	214094
214.094	0.0	right_hand	2	214094
222.094	0.0	left_hand	1	222094
222.094	0.0	left_hand	1	222094
230.094	0.0	right_hand	2	230094
230.094	0.0	right_hand	2	230094
238.094	0.0	left_hand	1	238094
238.094	0.0	left_hand	1	238094
246.094	0.0	left_hand	1	246094
246.094	0.0	left_hand	1	246094
254.111	0.0	right_hand	2	254111
254.111	0.0	right_hand	2	254111
262.111	0.0	right_hand	2	262111
262.111	0.0	right_hand	2	262111
270.127	0.0	left_hand	1	270127
270.127	0.0	left_hand	1	270127
278.127	0.0	right_hand	2	278127
278.127	0.0	right_hand	2	278127
286.127	0.0	left_hand	1	286127
286.127	0.0	left_hand	1	286127
294.144	0.0	left_hand	1	294144
294.144	0.0	left_hand	1	294144
302.144	0.0	right_hand	2	302144
302.144	0.0	right_hand	2	302144
310.144	0.0	right_hand	2	310144
310.144	0.0	right_hand	2	310144
318.144	0.0	left_hand	1	318144
318.144	0.0	left_hand	1	318144
